task,vri_id,mitypeTitle,mitypeNumber,mitypeType,mit_id,mi_number,mi_modification,mi_manufactureYear,mi_Owner_name,org_title,fsa_ral_regNumbers_regNumber,vriType,result_doc_type,result_docnum,additional_info,mitypeURL,query_meta,org_title_norm,owner_norm,mitypeTitle_norm
tsagi_manometers,487571572,Маном...,1844-63,"МТИ, ВТИ",319374,23742,МТИ (...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/319374,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571573,Маном...,1844-63,"МТИ, ВТИ",319374,30556,МТИ (...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/319374,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571574,Маном...,1844-63,"МТИ, ВТИ",319374,034258,МТИ (...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/319374,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571575,Маном...,1844-63,"МТИ, ВТИ",319374,34420,МТИ (...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/319374,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571576,Маном...,1844-63,"МТИ, ВТИ",319374,44522,МТИ (...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/319374,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571599,Маном...,490-50,МО,360574,111504,МО-160,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/360574,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571600,Маном...,2261-67,"МП4, ...",326580,Д03,МП4-У...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/326580,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571601,Маном...,2261-67,"МП4, ...",326580,Д04,МП4-У...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/326580,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571602,Маном...,23991-05,МТ (м...,328820,107,МТ-50...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/328820,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
tsagi_manometers,487571603,Маном...,23991-05,МТ (м...,328820,529,МТ-50...,,,ФЕДЕР...,РОСС ...,Периодическая,Извещение о непригодности,C-АОЛ...,,https://fgis.gost.ru/fundmetrology/registry/4/items/328820,"{'org_title': 'ЦАГИ', 'mitypeTitle': 'манометр', 'poverka_verification_year': '2025'}",ФЕДЕР...,,Маном...
